Product Name,Category,Sub-category,Techncal composition,SKU,Duration (only for Seeds),Type of grain/fruit,Seed rate,Crop/Target Crop,Insect/Disease/Deficiency,Dosage,Time of sowing /Time of application,Method of application,Geographies,Disclaimer,Season,1 lineShort Description,"USP's (For CCC, Include mode of action here)",Product Unique ID*,SKU FG Code*,Additional Information,Status*
Shriram 9705,Seeds,Hybrid Corn,,4 kg,,,,Corn,,,Kharif & Rabi,,All India,,"Kharif, Rabi",Long cob hybrid for both Kharif and Rabi with good yield and stay-green trait.,"• Longer cob, good yielder
 • Suitable for Kharif and Rabi
 • Stay green till harvest",Dummy87,DummyFG87,Add information for searchability,Active
Shriram 9700,Seeds,Hybrid Corn,,4 Kg,90 Days,"Flint grain, Light orange color

",8-10 kg/ acre,Corn,,,Kharif,,"MP, Rajasthan &UP",,Kharif,Early maturing flint hybrid with heat tolerance and wide adaptability.,"Early maturity
Heat tolerance
Wider adaptability",Dummy88,DummyFG88,Add information for searchability,Active
Shriram 9698,Seeds,Hybrid Corn,,4 kg,100-110 days,Dark orange coloured lustrous grains,8-10 kg/ acre,Corn,,,Kharif,,"Maharashtra, MP, CG, Gujrat & Rajasthan",,Kharif,"Dark orange lustrous grains, ideal for dense sowing with strong stay-green trait.","Dark orange colored lustrous grains
Suitable for dense sowing
Stay green till harvest",Dummy89,DummyFG89,Add information for searchability,Active
Super 111,Seeds,Super Wheat,,"40 kg, 20 kg",,"Hard, Lustrous & Bold grains",40 kg/acre,Wheat,,,Rabi,,"Haryana, Punjab, UP, Bihar, Jharkhand,Rajasthan, MP & Gujrat",,Rabi,"Early spike, bold grains, rust tolerant — ideal for early & late sowing.","o Spike emerge in 75 days 
 o Plant height: 100 cm
 o More tolerant to brown rust
 o Test weight: 52 g
 o Suitable for both early and late sowing",Dummy90,DummyFG90,Add information for searchability,Active
Super 231,Seeds,Super Wheat,,"40 kg, 20 kg",,"Hard, Lustrous & Bold",40 kg/acre,Wheat,,,Rabi,,"Haryana, Punjab, Rajasthan & UP",,Rabi,High-yield bold grain variety with dual rust resistance.,"o Spike emerge in 97 days
 o Plant height: 103 cm 
 o More tolerant to brown and yellow rust
 o Test weight: 44.5 g
 o Suitable for both early and late sowing",Dummy91,DummyFG91,Add information for searchability,Active
Super 252,Seeds,Super Wheat,,"40 kg, 20 kg, 10kg",,"Hard, Lustrous & bold grains",40 kg/acre,Wheat,,,Rabi,,"Haryana, Punjab, UP, Bihar, Jharkhand & Rajasthan",,Rabi,Bold grain wheat with strong rust tolerance and wide sowing window.,"o Spike emerge in 95-97 days
 o Plant height: 103 cm
 o More tolerant to brown rust
 o Test weight: 46 g 
 o Suitable for both early and late sowing",Dummy92,DummyFG92,Add information for searchability,Active
Super 272,Seeds,Super Wheat,,"40 kg, 20 kg",,"Hard, Lustrous & Bold grains",40 kg/acre,Wheat,,,Rabi,,"UP, Bihar, Jharkhand, Kolkata, CG, MP, Maharashtra, Rajasthan & Gujrat",,Rabi,"Rust-tolerant bold wheat, ideal for timely sowing and strong yields.","o Spike emerge in 102 days
 o Plant height: 95 cm
 o More tolerant to brown rust
 o Test weight: 45 g
 o Suitable for timely sowing",Dummy93,DummyFG93,Add information for searchability,Active
Super 303,Seeds,Super Wheat,,"40 kg, 20 kg, 10kg",,"Hard, Lustrous & Bold grains",40 kg/acre,Wheat,,,Rabi,,,,Rabi,"Bold, lustrous grains with resistance to rust and leaf spots.","o Spike emerge in 99 days 
 o Plant Height: 88 cm 
 o More tolerant to brown rust and o Helminthosporium leaf spot 
 o Test weight: 48 g
 o Suitable for both early and late sowing",Dummy94,DummyFG94,Add information for searchability,Active
Super 1-SR-14,Seeds,Super Wheat,,"40 kg, 20 kg",,"Hard, Lustrous & Bold grains",40 kg/acre,Wheat,,,Rabi,,"UP, Bihar, Jharkhand, Kolkata, CG & MP",,Rabi,,,Dummy95,DummyFG95,Add information for searchability,Active
Super 303,Seeds,Super Paddy,,6kg,130-135 days,Medium slender grains,10-12 kg/acre,Paddy,,,Kharif,,"UP, Bihar, Jharkhand, Kolkata, CG & MP",,Kharif,,"• Medium duration variety (130-135 days)
 • Medium plant height (105 cm)
 • Medium slender grains with good cooking quality 
 • Tolerant to BHP",Dummy96,DummyFG96,Add information for searchability,Active
Super 505,Seeds,Super Paddy,,"6kg, 10kg",135-140 days,,10-12 kg/acre,Paddy,,,Kharif,,"UP, Bihar, Jharkhand, Kolkata, CG & MP",,Kharif,Strong-stemmed paddy with high yield and excellent taste.,"• Medium duration variety (135 - 140 days) 
 • Medium plant height
 • Strong stem 
 • Tolerant to diseases 
 • Higher yield potential than other popular varieties 
 • Good in taste",Dummy97,DummyFG97,Add information for searchability,Active
Super 4433,Seeds,Super Paddy,,"1kg, 3kg",125-130 days,Medium bold grains,10-12 kg/acre,Paddy,,,Kharif,,"UP, Bihar, Jharkhand, Kolkata, CG & MP",,Kharif,Medium bold grains with long panicle and ideal plant height.,"• Medium bold grains
 • Crop duration: 125-130 days 
 • Plant height (120-125 cm) 
 • Panicle length: 25-28 cm",Dummy98,DummyFG98,Add information for searchability,Active
Shriram 4400,Seeds,Super Paddy,,"1kg, 3kg, 10kg",120-125 days,,10-12 kg/acre,Paddy,,,Kharif,,"UP, Bihar, Jharkhand, Kolkata, CG & MP",,Kharif,"Bold grains, long spike, and resistant to major diseases and drought.","• Medium bold grains
 • Mature in 12o-125 days
 • Plant height is 110-115 cm
 • Attractive long spike with 300 - 320 grains
 • Test weight is 30 - 32 g
 • Tolerant againt Sheeth rot and neck blast
 • Tolerant against draught",Dummy99,DummyFG99,Add information for searchability,Active
Shriram 4466,Seeds,Super Paddy,,"1kg, 3kg, 10kg",123-128 days,,10-12 kg/acre,Paddy,,,Kharif,,"Rajasthan, Bihar, Jharkhand & UP",,Kharif,Less water-requiring paddy with attractive spikes and bold grains.,"• Medium bold grains
 • Mature in 123-128 days
 • Plant height is 115-120 cm
 • Attractive long spike with 280 -300 grains
 • Test weight is 23-25 g
 • Less water requirement in comperision to other varieties",Dummy100,DummyFG100,Add information for searchability,Active
Shriram Rani,Seeds,OP Mustard,,1kg,135-140 days,,1.5 kg/acre,Mustard,,,Rabi,,"Haryana, Punjab, UP, Bihar, Jharkhand,Rajasthan, MP & Gujrat, Maharashtra",,Rabi,"Tall, branched mustard with high oil content and frost tolerance.","• Crop duration: 135 days• Attractive plant with more branching
 • Plant height-170-185 cm
 • Up to 75 siliqua in main branches and 16-18 seeds in each siliqua
 • Brown colored seeds having up to 40% oil
 • Tolerant against frost 
 • Higher yield poetntial as compared to other varieties",Dummy101,DummyFG101,Add information for searchability,Active
Shriram Super 5-SR-05,Seeds,Super Wheat,,"40 kg, 20 kg",,"Hard, Lustrous & Bold grains",40 kg/acre,Wheat,,,Rabi,,"Haryana, Punjab, UP",,Rabi,High-tillering rust-resistant wheat with strong yield performance.,"Spike emerge in 98 Days
Plant height 90 cm
More no of tillers & High yielding
Yellow & Brown rust resistance variety",Dummy102,DummyFG102,Add information for searchability,Active
Shriram Super 3-SR-72,Seeds,Super Wheat,,"40 kg, 20 kg",,"Hard, Lustrous & Bold grains",40 kg/acre,Wheat,,,Rabi,,All India,,Rabi,"Tolerant to yellow rust, with excellent grain quality and yield.","Spike emerge in 98 days
Plant height 100cm
More no of tillers & High yielding variety
Tolerant to yellow rust",Dummy103,DummyFG103,Add information for searchability,Active
Shriram 7711,Seeds,Super Paddy,,"1 kg, 2kg, 6kg, 10kg",130-135 days,Medium- slender grains,10-12 kg/acre,Paddy,,,Kharif,,Rajasthan & MP,,Kharif,"Slender grains, quick maturity, disease tolerant — all-round performer.","• Medium Slender grains
• Bold lustrous grain
• Mature in 120-125 days
• Plant height 105cm
• High tolerant to disease",Dummy104,DummyFG104,Add information for searchability,Active
Shriram Maharaja,Seeds,Vegetable Seed,,10 g,First picking at 55-60 days,,0.1-0.12 kg/acre,Chilli,,,"Kharif, Rabi & Summer",,"MP, Assam, WB, Chhattisgarh & UP",,"Kharif, Rabi & Summer","Long fruits, early picking, and powerful performance in every season!","• Length 15-17cm; dia 2-2.5cm
• Tolerant to temperature 
• Dual purpose",Dummy105,DummyFG105,Add information for searchability,Active
Shriram Sansani,Seeds,Vegetable Seed,,10 g,First picking in 60-65 days,,0.1-0.12 kg/acre,Chilli,,,Kharif,,"Telangana, AP & MP",,Kharif,"High heat, bold yield, perfect for green and dry markets!","• Suitable for green and dry chili (dual purpose)
• High pungency and higher dry weight 
• Length: 8-10 cm; dia: 0.8-0.9 cm",Dummy106,DummyFG106,Add information for searchability,Active
Shriram Shobha,Seeds,Vegetable Seed,,10 g,First harvest at 60-65 days,,0.1-0.12 kg/acre,Chilli,,,Kharif,,UP & Bihar,,Kharif,"Long fruits, LCV-tolerant, and perfect for processing!","• Used as green and dry chilli
• Very high tolerance to LCV
• Suitable for processing industry
• Length 18-20 cm; dia: dia: 2-2.5 cm",Dummy107,DummyFG107,Add information for searchability,Active
Shriram Akina,Seeds,Vegetable Seed,,10 g,First harvest at 60-65 days,,0.1-0.12 kg/acre,Chilli,,,Kharif,,"Bihar, Jharkhand, UP & WB",,Kharif,High-seed fruits that deliver maximum dry weight!,"• Good for fresh and dry red chili purpose 
 • Higher weight due to more no of seeds per fruit 
 • High weight even for dry chili",Dummy108,DummyFG108,Add information for searchability,Active
Shriram 2217,Seeds,Vegetable Seed,,10 g,First picking at 60 - 65 days,,0.1-0.12 kg/acre,Chilli,,,Kharif,,"UP, Jharkhand, Bihar, Chhattisgarh, Haryana & WB",,Kharif,"High-performing, high-pungency and higher-return crops!","• Length 7-10 cm;dia: 1.2-1.3 cm
• Dual purpose; higly pungent
• High Yield Potential",Dummy109,DummyFG109,Add information for searchability,Active
Shriram Kanchi,Seeds,Vegetable Seed,,10 g,First picking at 50-55 days,,0.1-0.12 kg/acre,Chilli,,,Kharif,,"Telangana, Andhra Pradesh",,Kharif,High-yielding green chilli built to thrive in heat!,"• Good bearing capacity at high temperature 
 • Suited for green chili 
 • Higher yield potential",Dummy110,DummyFG110,Add information for searchability,Active
Shriram 2209,Seeds,Vegetable Seed,,10 g,First picking at 60 -65 days,,0.1-0.12 kg/acre,Chilli,,,Kharif,,MP & Rajasthan,,Kharif,"Virus-resistant, dual-purpose chilli delivering exceptional yields.","• Very high tolerance to multiple viruses (CMV)
• Dual use purpose (red and green chili) 
• Length 9-10 cm; Dia: 0.8-1 cm
• Very high yield potential",Dummy111,DummyFG111,Add information for searchability,Active
Shriram 2205,Seeds,Vegetable Seed,,10 g,First picking at 60- 65 days,,0.1-0.12 kg/acre,Chilli,,,Kharif,,"Bihar, Jharkhand, UP, Assam & WB",,Kharif,Virus-tolerant chilli for high-yield green and red harvests.,"• Very high tolerance to multiple viruses related to chilli
 • Suitaible for green chili 
 • Dual (Green & Red) segment",Dummy112,DummyFG112,Add information for searchability,Active
Shriram Nazmi,Seeds,Vegetable Seed,,10 g,First picking at 60 - 65 days,,0.1-0.12 kg/acre,Chilli,,,"Kharif, Rabi & Summer",,Telangana & AP,,"Kharif, Rabi & Summer",LCV and virus-tolerant green chilli with consistent high yield.,"• 8-9 cm long with 1-2 cm dia 
 • Tolerant to LCV, CMV and CVMV
 • Suitaible for green chili",Dummy113,DummyFG113,Add information for searchability,Active
Shriram 71,Seeds,Vegetable Seed,,10 g,First picking at 60 - 65 days,,0.1-0.12 kg/acre,Chilli,,,Kharif,,"Central, North and East India",,Kharif,"High-yield, dual-purpose chilli with excellent dry weight and medium pungency.","• Good dry wt
• Dual purpose
• High yield potential
• Medium pungent & ASTA value 125",Dummy114,DummyFG114,Add information for searchability,Active
Shriram 2372,Seeds,Vegetable Seed,,10 g,First picking at 60 - 65 days,,0.07-0.08 kg/acre,Tomato,,,Kharif & Rabi,,All India,,Kharif & Rabi,"TYLCV-tolerant hybrid with firm, deshi-type fruits and excellent shelf life.","• Tomato Leaf curl virus (TYLCV) tolerant hybrid
• Excellent fruit firmness with good keeping quality
• Deshi type flat round fruit with little sour taste",Dummy115,DummyFG115,Add information for searchability,Active
Shriram 7891,Seeds,Vegetable Seed,,10 g,First picking at 60 - 65 days,,0.07-0.08 kg/acre,Tomato,,,Kharif & Rabi,,Himachal Pradesh,,Kharif & Rabi,"Vigorous hybrid with dense foliage, strong virus and climate tolerance","• Semi indeterminate and dense foliage
• Tolerant to extreme heat and cold
• High tolerance to virus (TLCV) and early blight at tolerance
• High Yield with regular flush of fruiting",Dummy116,DummyFG116,Add information for searchability,Active
Shriram 1616,Seeds,Vegetable Seed,,10 g,First picking at 60 - 65 days,,0.07-0.08 kg/acre,Tomato,,,February to July,,"Rajasthan, Bihar & Jharkhand",,February to July,"Firm-fruited tomato hybrid with strong tolerance to wilt, blight, and viral diseases","• Tolerant to bacterial wilt
• Tolerant to early blight and viruses
• Firm fruits",Dummy117,DummyFG117,Add information for searchability,Active
Shriram Jhilmil,Seeds,Vegetable Seed,,"100 g , 250 g",First picking at 40 - 45 days,,2.5-3.0 kg/acre,Okra,,,Kharif & Summer,,All India,,Kharif & Summer,"Soft-fruited okra with YVMV tolerance, continuous fruiting, and high yield potential.","• Attractive, lustrous soft fruit
• Continuous fruiting
• High yield potential
• Tolerant to YVMV",Dummy118,DummyFG118,Add information for searchability,Active
Shriram Ankita,Seeds,Vegetable Seed,,"100 g , 250 g",First picking at 40 - 45 days,,2.5-3.0 kg/acre,Okra,,,Kharif & Summer,,All India,,Kharif & Summer,"Dark green fruits, strong virus tolerance, and excellent branching","• High Tolerance to YVM and Leaf curl enation virus
• Dark green fruit
• More branching habit",Dummy119,DummyFG119,Add information for searchability,Active
Shriram 2112,Seeds,Vegetable Seed,,"100 g , 250 g",First picking at 45 - 50 days,,2.5-3.0 kg/acre,Okra,,,February to July,,All India,,February to July,"Short internodes, virus tolerance, and high-yielding variety","• Shortest inter-node
• 10 - 15 cm long fruit; high yielder
• YVMV and ELCV tolerant",Dummy120,DummyFG120,Add information for searchability,Active
Shriram 2005,Seeds,Vegetable Seed,,"100 g , 250 g",First picking at 40 - 45 days,,2.5-3.0 kg/acre,Okra,,,February to June,,All India,,February to June,"Dark green, virus-tolerant variety with short internodes and high yield.","Dark Green, Shining fruit
Tolerant to YVMV, OLCV & ELCV
 Very high yield potential
 Shorter internodal distance",Dummy121,DummyFG121,Add information for searchability,Active
Shriram 2110,Seeds,Vegetable Seed,,"100 g , 250 g",First picking at 40 - 45 days,,2.5-3.0 kg/acre,Okra,,,February to June,,All India,,February to June,"Long fruits, high branching, and close internodes for superior yield.","12 - 15 cm long fruit
High branching habit
Closer internodeal distance
Avoid april onward sowing",Dummy122,DummyFG122,Add information for searchability,Active
Shriram Gazab,Seeds,Vegetable Seed,,"10 g, 50 g",First picking at 60 - 65 days,,0.6-0.8 kg/acre,Bitter gourd,,,Kharif & Summer,,"Punjab, Haryana, UP & Bihar",,Kharif & Summer,"Dark green spiny fruits, heavy weight, with fruit on every node for steady yields.","Dark green fruit with spines
Average fruit weight is 120-150 g
Fruits on every node",Dummy123,DummyFG123,Add information for searchability,Active
Shriram Charu Super,Seeds,Vegetable Seed,,"10 g, 50 g",First picking at 55 - 60 days,,0.6-0.8 kg/acre,Bitter gourd,,,Rabi & Summer,,"West Bengal , Bihar, UP and MP",,Rabi & Summer,"Disease-tolerant, shiny fruits with semi-blunted spines and excellent transportability.","High tolerance to diseases
Semi blunted spine
Very Good for long transportation
Smooth & shiny fruits",Dummy124,DummyFG124,Add information for searchability,Active
Shriram Tanika,Seeds,Vegetable Seed,,"10 g, 50 g",First picking at 60 - 65 days,,0.6-0.8 kg/acre,Bitter gourd,,,Kharif & summer,,"Assam, Jharkhand, WB, MP, Gujarat & Chhattisgarh",,Kharif & summer,"Long, dark-colored fruits with virus tolerance and consistent yield.","Attractive dark color long fruit (30-40 cm)
Tolerant to viruses
 Average fruit weight is 120-130 g",Dummy125,DummyFG125,Add information for searchability,Active
Shriram Nano,Seeds,Vegetable Seed,,"10 g, 50 g",First picking at 60 - 65 days,,0.6-0.8 kg/acre,Bitter gourd,,,Kharif & Summer,,"Assam, Jharkhand, WB, MP, Gujarat & Chhattisgarh",,Kharif & Summer,Heat-tolerant variety with excellent fruit setting and viral disease resistance.,"Tolerance to high tempature
 Very good fruit setting
 Tolerant to viral diseases",Dummy126,DummyFG126,Add information for searchability,Active
Shriram Super Nano 6267,Seeds,Vegetable Seed,,"10 g, 50 g",First picking at 60 - 65 days,,0.6-0.8 kg/acre,Bitter gourd,,,"Kharif, Rabi & Summer",,All India,,"Kharif, Rabi & Summer","Sharp-spined, virus-tolerant variety with fat, uniform fruits.","Fat and sharp long spines
Tolerant to Viral diseases
Average weight is 40-50 g",Dummy127,DummyFG127,Add information for searchability,Active
Shriram Samridhi,Seeds,Vegetable Seed,,"10 g, 50 g",First picking at 60 - 65 days,,0.6-0.8 kg/acre,Bitter gourd,,,All seasons,,All India,,All seasons,Virus-tolerant dark green fruits with sharp teeth and reliable yield.,"Very high virus tolerance
Dark green sharp toothed fruits
Avg weight: 120-130 gm, Length: 16-20 cm",Dummy128,DummyFG128,Add information for searchability,Active
Shriram Chutki,Seeds,Vegetable Seed,,"10 g, 50 g",First picking at 60 - 65 days,,0.6-0.8 kg/acre,Bottle gourd,,,All seasons,,All India,,All seasons,Uniform striped fruits with soft pulp and high yield potential.,"Soft pulp with attractive stripes
Uniform cylindrical shape fruit with 40-45 cm length
Capable of high yields",Dummy129,DummyFG129,Add information for searchability,Active
Shriram Yamla,Seeds,Vegetable Seed,,"10 g, 50 g",First picking at 60 - 65 days,,0.6-0.8 kg/acre,Bottle gourd,,,All seasons,,All India,,All seasons,Light green shiny fruits with soft white flesh and authentic local taste.,"Light green shiny fruit color
 Less seeds with soft white flesh
 Average fruit weight is 300 - 400 g
Local taste",Dummy130,DummyFG130,Add information for searchability,Active
Shriram 94,Seeds,Vegetable Seed,,"10 g, 50 g",First picking at 50 - 55 days,,0.6-0.8 kg/acre,Bottle gourd,,,All seasons,,"Assam, West Bengal & Bihar",,All seasons,Cylindrical fruits with strong resistance to powdery and downy mildew.,"Green color lustrous 
Cylindrical shape fruit 
Highly tolerance to Powdery Mildew & Downy mildew",Dummy131,DummyFG131,Add information for searchability,Active
Shriram Kokila,Seeds,Vegetable Seed,,"10 g, 50 g",First picking at 65 - 70 days,,0.6-0.8 kg/acre,Bottle gourd,,,All seasons,,All India,,All seasons,Desi-tasting green fruits with white glaze and uniform shape.,"Uniform shape
 Taste like deshi
 Green colour fruit with white glaze",Dummy132,DummyFG132,Add information for searchability,Active
Shriram 62 plus,Seeds,Vegetable Seed,,"10 g, 50 g",First harvest at 60 - 65 days,,0.6-0.8 kg/acre,Bottle gourd,,,All seasons,,"MP, Bihar, Jharkhand, CG",,All seasons,"Shiny, lined fruits with excellent transportability and uniform high-weight yield.","Suitable for long transportation
 Uniform Cylindrical fruit
 35 – 40 cm long fruit
 Average fruit weight is 500 – 650 g
 Shining green colour fruit with attractive lining",Dummy133,DummyFG133,Add information for searchability,Active
Shriram Babli,Seeds,Vegetable Seed,,10 g,First harvest at 70 - 75 days after transplanting,,0.1-0.15 kg/acre,Cabbage,,,Kharif & Rabi,,"Rajasthan, Punjab, Haryana, UP, MP, Bihar, Jharkhand, CG, HP, Assam, WB",,Kharif & Rabi,Bluish-green heads with black rot tolerance,"Bluish-green colored leaves
Tolerant to black rot
 Average head weight is 1.3-1.7 kg",Dummy134,DummyFG134,Add information for searchability,Active
Shriram 822,Seeds,Vegetable Seed,,10 g,First harvest at 60 - 65 days,,0.1-0.15 kg/acre,Cabbage,,,July to October,,"Rajasthan, Punjab, Haryana, UP, MP, Bihar, Jharkhand, CG, HP, Assam, WB",,July to October,"Firm, round cabbage ideal for monsoon with strong stems and consistent yields.","Cabbage head round, firm and bluish-green
Appropriate for sowing in monsoon because of long stem
Average weight=0.9 to 1.1 kg
",Dummy135,DummyFG135,Add information for searchability,Active
Shriram Early,Seeds,Vegetable Seed,,10 g,First harvest at 50 - 55 days,,0.1-0.15 kg/acre,Cabbage,,,July to September,,All India,,July to September,"Early-maturing, deep green heads with black rot tolerance","Cabbage head deep green, firm and round
Average head weight=0.8 to 1kg
Tolerant to black rot
",Dummy136,DummyFG136,Add information for searchability,Active
Shriram Mahak,Seeds,Vegetable Seed,,"500 g, 1000 g",First cutting at 40 -45 days,,8-10 kg/acre,Coriander,,,All seasons,,"South, Central and East India",,All seasons,"Aromatic, multi-cut variety with late flowering and strong tolerance.","Dark green aromatic leaves
 Late flowering
 Temperature tolerant
 Suitable for multi cutting",Dummy137,DummyFG137,Add information for searchability,Active
Shriram Sugandhi,Seeds,Vegetable Seed,,"500 g, 1000 g",First cutting at 30 -35 days,,8-10 kg/acre,Coriander,,,All seasons,,"UP, MP, Rajasthan, Maharashtra, Assam, WB, Jharkhand, Bihar, Haryana, HP",,All seasons,"Fast-growing, fragrant leaves with long stems for repeated harvests.","Long stem
 More fragrant leaves
 Suitable for multi harvesting",Dummy138,DummyFG138,Add information for searchability,Active
Shriram Ragini,Seeds,Vegetable Seed,,10 g,First picking at 40 -45 days,,0.4-0.5 kg/acre,Cucumber,,,"Kharif, Rabi & Summer",,Maharashtra & Bihar,,"Kharif, Rabi & Summer",Cylindrical fruits with strong mildew tolerance for reliable harvests.,"Medium green, 20-25cm long, 4-5 cm width & Cylindrical fruit
 Crispy taste like deshi
 High tolerance to powdery and downy mildew",Dummy139,DummyFG139,Add information for searchability,Active
Shriram Mandakini,Seeds,Vegetable Seed,,"10 g , 25 g",First picking at 40 - 45 days,,0.4-0.5 kg/acre,Cucumber,,,"Kharif, Rabi & Summer",,All India,,"Kharif, Rabi & Summer",Fruit at every node and excellent transport resilience.,"Fruit at every node
 15 - 20 cm long fruit
Suitable for longer transportation
 Tolerant to powdery and downy mildew disease",Dummy140,DummyFG140,Add information for searchability,Active
Shriram 234,Seeds,Vegetable Seed,,10 g,First picking at 40 - 45 days,,0.4-0.5 kg/acre,Cucumber,,,"Kharif, Rabi & Summer",,"Bihar, Jharkhand, & E. UP",,"Kharif, Rabi & Summer","Vigorous and heat-tolerant hybrid delivering consistent, medium-green fruits.","Very vigorous plant
 Medium green colour fruit
 Average fruit weight is 190 - 210 g
High temperature tolerance",Dummy141,DummyFG141,Add information for searchability,Active
Shriram Sunaina,Seeds,Vegetable Seed,,"10 g , 50 g",First picking at 55 - 60 days,,0.6-0.8 kg/acre,Sponge Gourd,,,All seasons,,All India,,All seasons,"High-yielding, cylindrical fruits with strong transport and field durability.","20 - 25 cm long, cylindrical green fruit
Suitable for transportation
Good field holding capacity
High yield potential",Dummy142,DummyFG142,Add information for searchability,Active
Shriram Sundari,Seeds,Vegetable Seed,,"10 g , 50 g",First picking at 55 - 60 days,,0.6-0.8 kg/acre,Sponge Gourd,,,All seasons,,All India,,All seasons,"Uniform, glossy fruits with excellent storage and consistent performance.","20 - 25 cm long, cylindrical green fruit
 Average fruit weight is 100 - 125 g
 Good storage capicity",Dummy143,DummyFG143,Add information for searchability,Active
Shriram Sulekha,Seeds,Vegetable Seed,,"10 g , 50 g",First picking at 55 - 60 days,,0.6-0.8 kg/acre,Sponge Gourd,,,All seasons,,All India,,All seasons,"Dark green, climate-resilient hybrid with strong yields and visual appeal.","Dark green attractive fruits
 Suitable for all climates
 High yield potential
 Average fruit weight is 100 -120 g",Dummy144,DummyFG144,Add information for searchability,Active
Shriram Latika,Seeds,Vegetable Seed,,"10 g , 50 g",First picking at 55 - 60 days,,0.6-0.8 kg/acre,Sponge Gourd,,,All seasons,,All India,,All seasons,"Long, attractive fruits with viral tolerance for reliable performance.","Dark green attractive fruit
 Tolerant to virus borne disease
 22-25 cm long fruit",Dummy145,DummyFG145,Add information for searchability,Active
Shriram Desika,Seeds,Vegetable Seed,,"10 g , 50 g",Harvest in 95 - 105 days,,3-4 kg/ acre,Onion,,,Rabi,,All India,,Rabi,"Reddish-brown, uniform bulbs with excellent keeping quality—perfect for Rabi","Reddish brown tubers
 More uniformity in shape
 Superior keeping quality
 Suitable for Rabi Sowing",Dummy146,DummyFG146,Add information for searchability,Active
Shriram Bhima Dark Red,Seeds,Vegetable Seed,,"10 g , 50 g",Harvest in 105 - 110 days,,3-4 kg/ acre,Onion,,,Kharif & Rabi,,All India,,Kharif & Rabi,"Dark red, flat-globose bulbs with strong storage life—best suited for Rabi","Flat globose in shape and dark red in color
 Suitable for rabi season
 Good keeping quality",Dummy147,DummyFG147,Add information for searchability,Active
Shriram Red Bulb,Seeds,Vegetable Seed,,"100 g , 500 g",Harvest in 110 - 120 days,,3-4 kg/ acre,Onion,,,Kharif & Rabi,,"UP, Rajasthan, MP, Haryana",,Kharif & Rabi,"Deep red, flat-round bulbs offering uniformity and durability across seasons.","Red colored flat round bulb
 More uniformity in bulb
Good keeping quality
Solid, flat roundish deep red tubers",Dummy148,DummyFG148,Add information for searchability,Active
Shriram Red Rock,Seeds,Vegetable Seed,,500 g,Harvest in 100 - 105 days,,3-4 kg/ acre,Onion,,,Kharif & Rabi,,All India,,Kharif & Rabi,Uniform red bulbs with heat tolerance—ideal for Kharif,"Red color bulb
 More uniformity in bulb
 Temperature tolerant
 Suited for Kharif and late Kharif",Dummy149,DummyFG149,Add information for searchability,Active
Shriram Saloni,Seeds,Vegetable Seed,,"1 kg , 5 kg , 10 kg",First picking at 85 - 90 days,,20-25 kg/acre,Pea,,,Rabi,,All India (except Maharashtra),,Rabi,High-purity imported variety with sweet pencil-type pods,"Imported variety
 High genetic purity
 Pencil type fruit (9-11 seeds)
 Very sweet in taste",Dummy150,DummyFG150,Add information for searchability,Active
Shriram Sweet Ruby,Seeds,Vegetable Seed,,"1 kg , 5 kg , 10 kg",First picking at 75 - 80 days,,25-30 kg/acre,Pea,,,Rabi,,All India (except Maharashtra),,Rabi,"Early maturing, sweet pencil-type pods with strong disease tolerance.","Pencil type fruit
 Sweet and tasty
 Diseases tolerant",Dummy151,DummyFG151,Add information for searchability,Active
Shriram Himani,Seeds,Vegetable Seed,,"2 kg , 5 kg , 10 kg",First picking at 75 - 80 days,,25-30 kg/acre,Pea,,,Rabi,,"Uttar Pradesh, Haryana, Punjab, Chattisgarh, & Himachal Pradesh",,Rabi,"High-yielding, sweet pencil-type pods bred for strong disease resistance.","Pencil type fruit
Sweet and tasty
Diseases tolerant",Dummy152,DummyFG152,Add information for searchability,Active
Shriram Kamya Gold,Seeds,Vegetable Seed,,10g,First picking at 65 - 70 days,,0.15-0.2 kg/acre,Sweet Pepper,,,"Kharif, Rabi & Summer",,"UP, Jharkhand, Bihar, Gujarat, HP, M.P, CG, WB, Assam",,"Kharif, Rabi & Summer","Early hybrid, blocky 3–4 lobe fruits and excellent plant vigor.","Early hybrid with high yield potential
High vigor with good branching and plant cover
Blocky fruits with 3-4 lobes
Excellent dark green fruits of 150 – 200 grams",Dummy153,DummyFG153,Add information for searchability,Active
Shriram Mariko,Seeds,Vegetable Seed,,10 g,Harvesting start in 65 - 70 days,,0.12-0.15 kg/acre,Cauliflower,,,15 July to 15 Sep,,All India,,15 July to 15 Sep,Milky white dome-shaped curd with excellent leaf cover; ideal for early harvests.,"Milky white dome shaped curd
 Curd covered with leaves 
Average weight: 1 to 1.2 kg",Dummy154,DummyFG154,Add information for searchability,Active
Shriram Abha,Seeds,Vegetable Seed,,10 g,Harvesting start in 75 - 80 days after transplanting,,0.12-0.15 kg/acre,Cauliflower,,,September to October,,All India,,September to October,"Compact, milky white curd with excellent self-blanching; delivers uniform quality.","Curd Colour : Milky white
Compact curd with good self blanching
Average weight : 1.2-1.5 kg",Dummy155,DummyFG155,Add information for searchability,Active
